TIME,WndSp,SfcPr
95124,44.9,959.9
95125,44.7,959.9
95126,44.6,960
95127,43.8,959.9
95128,42.6,959.8
95129,41.9,959.7
95130,42.1,959.5
95131,42.6,959.4
95132,42.9,959.2
95133,42.6,959.1
95134,42.6,959
95135,42.2,958.9
95136,42.1,958.9
95137,41.5,958.7
95138,41.2,958.7
95139,41.7,958.5
95140,41.8,958.3
95141,41.9,958.2
95142,41.9,958.1
95143,42.7,958.1
95144,42.3,958
95145,42.1,957.9
95146,41.9,957.9
95147,42.3,957.9
95148,42.4,957.7
95149,42.5,957.6
95150,42.5,957.6
95151,42.8,957.5
95152,42.7,957.2
95153,42.8,956.9
95154,42.5,956.5
95155,41.5,956.3
95156,41.2,956.2
95157,41.2,956.2
95158,41.3,956.3
95159,41.2,956.5
95200,40.8,956.4
95201,40.6,956.3
95202,40.6,956.3
95203,40.6,956.4
95204,40.8,956.4
95205,40.4,956.3
95206,40.2,956.2
95207,40.3,956
95208,40.3,955.9
95209,40,955.7
95210,39.8,955.6
95211,39.8,955.4
95212,39.9,955.4
95213,40,955.2
95214,39.7,955.1
95215,39.7,955
95216,39.5,954.9
95217,39.4,954.8
95218,39.3,954.6
95219,39.4,954.3
95220,39.2,954.2
95221,38.8,954
95222,38.6,953.9
95223,39.1,953.7
95224,38.8,953.6
95225,38.8,953.5
95226,38.4,953.4
95227,37.3,953.3
95228,36.7,953.2
95229,35.9,952.8
95230,35.1,952.3
95231,34,952.1
95232,32.9,951.9
95233,32.5,952
95234,32.6,952
95235,32,951.6
95236,31.8,951.6
95237,31.5,951.7
95238,31.2,951.9
95239,30.5,952
95240,29.7,951.9
95241,29.5,952.1
95242,27.8,951.8
95243,27.9,951.8
95244,28.5,951.2
95245,28.1,951
95246,27.9,950.8
95247,28.3,950.7
95248,28,950.6
95249,27.5,950.6
95250,27.3,950.8
95251,27.4,950.8
95252,26.5,950.6
95253,25.7,950.6
95254,25.9,950.6
95255,26.1,950.7
95256,26.2,950.5
95257,26.3,950.6
95258,26.2,950.2
95259,25.7,950.1
95300,25,950
95301,23.9,949.8
95302,23.1,949.5
95303,23.5,949.1
95304,22.9,948.9
95305,22.5,948.9
95306,22.6,948.8
95307,22.3,948.9
95308,22.4,949
95309,22.7,948.9
95310,23.1,948.9
95311,23.1,948.8
95312,22.1,948.7
95313,21.2,948.6
95314,21.4,948.5
95315,21.6,948.5
95316,22.2,948.6
95317,22.7,948.8
95318,22.8,949
95319,22.4,949
95320,21.6,949
95321,21.2,948.8
95322,20.7,948.4
95323,18.8,948.3
95324,17.5,948.3
95325,17.4,948.2
95326,17.3,948.3
95327,17.5,948.3
95328,18.2,948.3
95329,19.3,948.5
95330,17.8,948.4
95331,17.4,948.3
95332,17.5,948.3
95333,17.3,948.3
95334,18.1,948.2
95335,17.7,948.4
95336,17.3,948.4
95337,17.1,948.3
95338,17.1,948.4
95339,17.1,948.5
95340,17.4,948.8
95341,16.9,948.7
95342,16.9,948.7
95343,16.1,948.7
95344,15.2,948.6
95345,15.1,948.2
95346,15.1,948.1
95347,14.9,947.8
95348,14.8,947.7
95349,15,947.3
95350,15,947.1
95351,14.8,946.9
95352,14.3,946.8
95353,14,946.8
95354,14.4,947
95355,14.5,946.9
95356,14.7,946.7
95357,14.3,946.5
95358,14.1,946.3
95359,14.1,946.2
95400,13.7,946.1
95401,13.6,945.9
95402,13.7,945.7
